Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
1,Houston,Amer,31,"29-2
17–1","121.2
4","92.3
7",".9581
1","53.8
37","42.7
3","15.3
24","22.4
22","37.8
4","27.9
156","27.6
300","34.9
267","54.4
33","43.2
4","35.2
114","28
2","63.2
347","8.1
3"
2,Alabama,SEC,31,"26-5
16–2","117.2
17","91.5
4",".9454
2","52.8
68","42.1
2","19.1
239","16
305","33.2
39","27.3
123","38.2
31","33.5
238","54.6
28","41.9
1","33.9
178","28.4
3","73.4
2","9
2"
3,UCLA,P12,31,"27-4
18–2","114.3
33","89.6
2",".9431
3","51.2
149","46.9
29","15.7
32","24.1
7","34.6
21","27.6
143","26.4
327","27.2
65","50.7
168","47
50","34.9
132","31.1
38","66.7
220","7.8
4"
4,Tennessee,SEC,31,"22-9
11–7","113.1
49","88.6
1",".9429
4","50
213","41.7
1","17.9
153","22.7
20","37.1
5","27.6
143","31.2
190","35.7
284","50.8
162","44.1
6","32.6
254","25.5
1","65.8
270","3.4
21"
5,Connecticut,BE,31,"24-7
13–7","119.8
9","95.0
19",".9354
5","53.3
49","45.1
9","18.7
219","19.6
92","39
1","26.1
71","32.3
143","39.3
329","53.1
66","45.4
17","35.6
94","29.7
12","67.5
173","4.9
13"
6,Purdue,B10,31,"26-5
15–5","119.4
10","94.8
16",".9342
6","52.3
85","47.1
36","17.3
102","15.5
328","38.5
2","23.3
13","36.8
47","18.6
1","54.3
34","47.4
59","32.7
248","31
35","64.2
328","7.5
5"
7,"Saint Mary's
   vs. 73 BYU",WCC,30,"25-6
14–2","114.0
37","90.7
3",".9333
7","52.8
68","45.9
15","16.3
51","19.3
106","33.3
37","21.7
2","30.2
221","29.9
147","51.4
119","44.8
11","36.8
40","32.2
72","62.4
354","3.8
15"
8,San Diego St.,MWC,29,"24-6
15–3","115.4
25","93.1
8",".9222
8","51.2
149","48.2
73","17.8
143","19.9
77","31.7
78","25.5
56","33.7
99","30.2
153","50.1
192","50.6
197","35.3
110","29.8
14","66.4
238","5.3
11"
9,Arizona,P12,31,"25-6
14–6","121.0
5","98.0
43",".9189
9","56.5
5","47.3
40","18.4
198","17
247","31.3
90","26.3
82","36.6
49","25.9
39","56.4
10","46.2
31","37.8
18","32.8
98","72.9
6","6
8"
10,"Gonzaga
   vs. 101 San Francisco",WCC,30,"26-5
14–2","125.0
1","101.6
100",".9152
10","58.3
2","52.2
271","14.7
12","19
122","31.3
90","25.8
63","34
91","27.3
69","59.1
2","51.9
262","37.7
19","35.1
241","70.4
40","6.2
7"
11,Texas,B12,31,"23-8
12–6","117.1
18","95.6
24",".9122
11","53.3
49","48.7
87","16.5
63","22.7
20","28.4
186","29.3
221","31.6
172","35.2
275","54.1
40","48
76","34.5
155","33.3
131","69.3
93","6.2
6"
12,Creighton,BE,31,"20-11
14–6","115.5
24","94.6
15",".9086
12","54.4
28","46.9
29","16.7
69","14.4
353","26
252","23
12","28
288","19.9
2","55
22","45.6
21","35.8
81","33.5
147","67.9
160","1.8
36"
13,Kansas,B12,31,"25-6
13–5","114.5
30","94.2
10",".9045
13","52.3
85","46.9
29","17.2
93","20.1
72","28.8
170","28.3
178","30
227","32.2
214","52.4
82","46.7
44","34.8
139","31.5
50","69.3
86","9.5
1"
14,Baylor,B12,31,"22-9
11–7","122.7
2","101.0
84",".9042
14","52.9
65","51.3
219","18.1
169","19.8
80","35.1
16","30.1
259","37.5
40","31.7
196","51.1
143","53.2
310","36.8
40","32
62","67.2
192","6
9"
15,Marquette,BE,31,"25-6
17–3","120.9
6","100.2
76",".8964
15","56.8
3","52.1
267","15.2
23","22.9
16","26.7
234","31.3
303","27.4
305","29.3
125","59.5
1","51.1
214","35.4
107","35.9
281","69.4
83","5.8
10"
16,Texas A&M,SEC,31,"23-8
15–3","115.5
22","96.0
27",".8939
16","49.2
247","47.4
44","18.2
179","21.2
38","36.3
9","30.2
266","46.3
3","35.4
279","49.5
219","46.7
44","32.5
264","32.2
72","66.4
236","3.2
24"
17,Xavier,BE,31,"23-8
15–5","120.7
8","100.8
82",".8880
17","56.3
8","50.4
168","17.7
136","16.6
275","31.2
97","25.7
60","31.4
181","27.7
83","54.7
24","48.4
87","39.8
4","36.1
289","71
29","4.5
14"
18,West Virginia,B12,31,"18-13
7–11","118.1
14","98.7
55",".8869
18","51.9
101","50.7
186","18.6
215","21
47","33.8
27","29.1
214","40.8
15","39.4
330","51.4
119","50.3
180","35.2
114","34.3
193","69.1
105","1.7
37"
19,Iowa St.,B12,30,"18-12
9–9","109.8
97","91.9
6",".8855
19","50.8
174","49.5
119","19.3
256","25.3
2","32.7
52","26.8
103","28.1
283","39.9
338","50.9
152","49.2
134","33.6
190","33.2
126","64.4
325","2.2
31"
20,Arkansas,SEC,31,"19-12
8–10","112.5
54","94.3
11",".8845
20","52
93","46.4
22","18.1
169","20.5
61","30.2
126","27.8
152","38.7
28","38.4
319","53.6
54","46.5
40","32.1
283","30.9
30","70
52","0.7
46"
21,Kansas St.,B12,31,"23-8
11–7","112.4
57","94.4
12",".8820
21","51.6
119","47.4
44","19.8
283","20.9
50","31
99","29.1
214","37.3
41","36.9
301","51.4
119","49.2
134","34.5
155","29.5
10","70.2
45","5.2
12"
22,Auburn,SEC,31,"20-11
10–8","113.5
44","95.4
23",".8803
22","49.5
232","45.2
11","18.2
179","19.1
115","33.6
30","31.6
311","35
73","38.9
325","50.8
162","46.3
36","31.4
316","28.8
4","67.9
159","1.9
35"
23,Memphis,Amer,31,"23-8
13–5","115.1
26","97.5
37",".8706
23","53
62","47.7
55","18.7
219","21.1
39","31.3
90","31.7
314","36
60","35
271","53.5
57","48.2
84","34.4
163","31.4
46","71.7
18","3.7
17"
24,TCU,B12,31,"20-11
9–9","112.8
51","95.8
26",".8663
24","50.5
186","48
66","17.2
93","22
24","32.5
58","30.6
286","34.3
87","29.6
138","53
70","48.7
105","29.6
351","31.1
38","70.2
47","2.3
30"
